nume locatie,oras,rating general,numar de recenzii,categorie,popularitate,sezon recomandat,longitudine,latitudine,pret estimativ,tip calatorie,cuvinte cheie
Jósika crypt,Cluj-Napoca,4.2,1531,Cemeteries,1,Oricând,23.591405868530273,46.7631950378418,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinematograful Arte,Cluj-Napoca,4.8,2857,Cinemas,1,Oricând,23.5902042388916,46.76800537109375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Béldi crypt,Cluj-Napoca,4.6,2163,Cemeteries,3,Oricând,23.591636657714844,46.76285171508789,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Capela Sf Ieremia,Cluj-Napoca,4.4,2549,Religion,2,Oricând,23.591522216796875,46.770511627197266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Alexandru Ioan Cuza,Cluj-Napoca,4.6,1083,Historic,3,Oricând,23.594892501831055,46.772705078125,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Creștină Penticostală,Cluj-Napoca,4.3,1266,Religion,2,Oricând,23.609437942504883,46.7696533203125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Sebestyén Palace, Cluj-Napoca",Cluj-Napoca,4.5,2176,Historic architecture,1,Oricând,23.590011596679688,46.768672943115234,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Vestigii Romane,Cluj-Napoca,4.2,2252,Historic,3,Oricând,23.59009552001953,46.7691650390625,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Institutul Teologic Protestant,Cluj-Napoca,3.9,2907,Religion,1,Oricând,23.595046997070312,46.7730827331543,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ruine Vechi,Cluj-Napoca,4.1,515,Architecture,1,Oricând,23.59002113342285,46.769290924072266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cluj-Napoca Bánffy Palace,Cluj-Napoca,4.5,1453,Cultural,2,Oricând,23.590986251831055,46.77061462402344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
House of Religious Freedom,Cluj-Napoca,5.0,1634,Historic architecture,2,Oricând,23.591869354248047,46.77145004272461,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
John Sigismund Unitarian Academy,Cluj-Napoca,4.5,2282,Architecture,3,Oricând,23.59261131286621,46.77202606201172,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Reformed Church of the Lower Town, Cluj-Napoca",Cluj-Napoca,3.8,2468,Religion,3,Oricând,23.597475051879883,46.77383804321289,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Palatele Status-ului romano-catolic,Cluj-Napoca,3.7,2783,Historic architecture,1,Oricând,23.590421676635742,46.770118713378906,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Stâlpi Împușcați,Cluj-Napoca,4.2,2081,Historic,3,Oricând,23.5895938873291,46.768760681152344,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
David Ferenc (1520?-1579),Cluj-Napoca,4.2,2892,Historic,1,Oricând,23.592073440551758,46.77184295654297,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Statue of Matthias Corvinus,Cluj-Napoca,4.9,1351,Historic,1,Oricând,23.58984375,46.76953887939453,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Statuie Matei Corvin,Cluj-Napoca,3.9,1716,Historic,3,Oricând,23.589841842651367,46.76954650878906,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biciclete,Timișoara,4.4,1472,Cultural,1,Oricând,21.226224899291992,45.753849029541016,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Romanian National Opera, Timișoara",Timișoara,3.9,1113,Cultural,2,Oricând,21.225942611694336,45.75410079956055,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Palace of Culture in Timisoara,Timișoara,4.7,2051,Theatres and entertainments,2,Oricând,21.22599983215332,45.75429916381836,Mic,City Break,"['turism', 'călătorie', 'explorare']"
German State Theatre in Timișoara,Timișoara,3.9,334,Cultural,2,Oricând,21.22606086730957,45.754390716552734,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Teatrul German de Stat,Timișoara,4.2,2859,Cultural,3,Oricând,21.226381301879883,45.75437927246094,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Teatrul Maghiar de Stat Csiky Gergely,Timișoara,4.9,2423,Cultural,1,Oricând,21.22640037536621,45.75442123413086,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Fântâna cu pești,Timișoara,3.7,599,Fountains,1,Oricând,21.22528076171875,45.75282287597656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Hunyadi Castle,Timișoara,4.2,1884,Fortifications,2,Oricând,21.227054595947266,45.7530517578125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Museum of Banat,Timișoara,4.8,1351,Cultural,3,Oricând,21.227075576782227,45.7530632019043,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Banat Museum, Natural Sciences Department",Timișoara,4.6,1374,Cultural,3,Oricând,21.227317810058594,45.75310516357422,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinema Studio,Timișoara,4.7,302,Cultural,1,Oricând,21.226041793823242,45.7524299621582,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Lupoaica,Timișoara,4.5,964,Cultural,2,Oricând,21.225101470947266,45.75246810913086,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Capitoline Wolf in Timișoara,Timișoara,3.8,609,Historic,3,Oricând,21.225099563598633,45.75244140625,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"Dauerbach Palace, Timișoara",Timișoara,4.6,1418,Palaces,2,Oricând,21.224788665771484,45.752532958984375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Interwar urban ensemble ""Corso"" in Timişoara",Timișoara,4.0,617,Historic architecture,3,Oricând,21.225099563598633,45.75239944458008,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Martirii,Timișoara,3.8,911,Historic,1,Oricând,21.227170944213867,45.7526741027832,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"House with Atlantes, Timișoara",Timișoara,4.4,2238,Historic architecture,3,Oricând,21.226600646972656,45.75510025024414,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Fabric,Timișoara,3.6,1168,Historic,3,Oricând,21.227989196777344,45.75374984741211,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Regele Ferdinand I,Timișoara,4.3,1301,Cultural,3,Oricând,21.224620819091797,45.7521858215332,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Regina Maria a României,Timișoara,4.6,2584,Cultural,1,Oricând,21.225278854370117,45.752010345458984,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Comenduirea Garnizoanei,Timișoara,3.5,2410,Cultural,1,Oricând,21.227418899536133,45.755008697509766,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Muzeul Militar din Timișoara,Timișoara,4.1,741,Museums,1,Oricând,21.2273006439209,45.75510025024414,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Decebalus per Scorilo,Timișoara,4.5,2957,Cultural,1,Oricând,21.226659774780273,45.75542449951172,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Urban ensemble VII, Timișoara",Timișoara,3.5,2376,Historic architecture,2,Oricând,21.222999572753906,45.75400161743164,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Saint Catherine of Alexandria Church in Timișoara,Timișoara,4.3,83,Religion,1,Oricând,21.22842025756836,45.75410461425781,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Helios,Timișoara,4.8,2444,Cultural,1,Oricând,21.22443199157715,45.751922607421875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Emanoil Ungureanu,Timișoara,4.2,372,Historic,1,Oricând,21.228281021118164,45.7528076171875,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Military Traditions Hall,Timișoara,4.0,2791,Cultural,2,Oricând,21.226598739624023,45.75566864013672,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Mizercordienilor,Timișoara,3.7,489,Religion,1,Oricând,21.224721908569336,45.75572967529297,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Military Casino of Timișoara,Timișoara,4.0,1162,Historic architecture,2,Oricând,21.226444244384766,45.75580596923828,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"Urban Ensemble II, Timișoara",Timișoara,3.9,789,Historic architecture,2,Oricând,21.22800064086914,45.752201080322266,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Spitalul Mizericordienilor din Timișoara,Timișoara,3.8,86,Historic architecture,3,Oricând,21.224599838256836,45.75579833984375,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Virgin Mary & St John of Nepomuk Monument in Timișoara,Timișoara,3.8,2371,Historic architecture,2,Oricând,21.227190017700195,45.7557487487793,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"St. Mary and St. John of Nepomuk Monument, Timişoara",Timișoara,3.6,1395,Historic,1,Oricând,21.227224349975586,45.755802154541016,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Monumentul Revoluției,Timișoara,4.6,998,Historic,3,Oricând,21.224628448486328,45.751502990722656,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Colegiul Tehnic Emanoil Ungureanu,Timișoara,4.4,1867,Architecture,1,Oricând,21.228221893310547,45.75212478637695,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Înălțarea Sfintei Cruci,Timișoara,3.7,2841,Religion,3,Oricând,21.22294807434082,45.752296447753906,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinema Timiș,Timișoara,4.6,833,Cultural,3,Oricând,21.225181579589844,45.75133514404297,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Piarist High School, Timişoara",Timișoara,4.6,570,Religion,2,Oricând,21.222848892211914,45.7523307800293,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Old City Hall of Timișoara,Timișoara,3.5,1699,Historic architecture,3,Oricând,21.227399826049805,45.756099700927734,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Sinagoga din Cetate,Timișoara,3.6,877,Religion,3,Oricând,21.22613525390625,45.7564697265625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Claustrul mănăstirii Franciscanilor din Timișoara,Timișoara,3.6,1728,Historic architecture,2,Oricând,21.226900100708008,45.75640106201172,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"Piarist High School, Timișoara",Timișoara,4.9,2693,Historic architecture,2,Oricând,21.22183609008789,45.75288009643555,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Statuia Sf. Gheorghe,Timișoara,3.8,2514,Cultural,2,Oricând,21.228872299194336,45.75571823120117,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Moschee turcească,Timișoara,4.1,2591,Historic,2,Oricând,21.228919982910156,45.75578689575195,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Sailer,Timișoara,4.2,2150,Historic,1,Oricând,21.221420288085938,45.753143310546875,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Mihai Eminescu,Timișoara,3.7,1557,Cultural,1,Oricând,21.225698471069336,45.75064468383789,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bastion,Timișoara,4.1,994,Architecture,3,Oricând,21.223865509033203,45.75651550292969,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Nedelkovich House in Timișoara,Timișoara,3.6,2721,Historic architecture,3,Oricând,21.227699279785156,45.756500244140625,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Sever Bocu,Timișoara,3.9,232,Cultural,1,Oricând,21.222970962524414,45.751243591308594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Stan Vidrighin,Timișoara,4.0,662,Cultural,1,Oricând,21.222911834716797,45.75127029418945,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Banatul Philarmonic,Timișoara,4.4,1382,Cultural,3,Oricând,21.226253509521484,45.75059509277344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Aurel Cosma,Timișoara,3.9,229,Cultural,1,Oricând,21.222917556762695,45.75120544433594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Spitalul Militar din Timișoara,Timișoara,4.8,425,Historic architecture,2,Oricând,21.225400924682617,45.756900787353516,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Mitropolitan Orthodox Cathedral,Timișoara,4.0,2554,Religion,2,Oricând,21.224212646484375,45.75068283081055,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Banat Orthodox Metropolitan Museum Collection,Timișoara,4.9,113,Cultural,2,Oricând,21.224332809448242,45.75065231323242,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Carol Küttel,Timișoara,4.7,1205,Cultural,3,Oricând,21.222702026367188,45.75128173828125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
János Török,Timișoara,5.0,2330,Cultural,3,Oricând,21.222599029541016,45.751277923583984,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Eugeniu de Savoya,Timișoara,4.0,2303,Cultural,3,Oricând,21.222713470458984,45.75119400024414,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Béla Bartók,Timișoara,4.1,1798,Cultural,2,Oricând,21.222503662109375,45.75127410888672,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Claudius Florimund Mercy,Timișoara,4.5,1714,Cultural,3,Oricând,21.222614288330078,45.751190185546875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ion C. Brătianu,Timișoara,4.3,2510,Cultural,3,Oricând,21.230236053466797,45.75259017944336,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Virgil Birou,Timișoara,3.6,366,Cultural,2,Oricând,21.222402572631836,45.75127029418945,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Carol Telbisz,Timișoara,3.6,865,Cultural,2,Oricând,21.22250747680664,45.75118637084961,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Iancu de Hunedoara,Timișoara,3.6,2577,Cultural,2,Oricând,21.2224178314209,45.751182556152344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Eva,Timișoara,3.5,1697,Cultural,1,Oricând,21.22801399230957,45.75679016113281,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Romul Ladea,Timișoara,4.8,168,Cultural,2,Oricând,21.222145080566406,45.751258850097656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Militärkapelle an der Piața 700,Timișoara,4.6,66,Religion,1,Oricând,21.2238826751709,45.75701904296875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Militară,Timișoara,4.5,843,Religion,1,Oricând,21.22397232055664,45.75704574584961,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ioachim Miloia,Timișoara,3.7,174,Cultural,3,Oricând,21.222043991088867,45.75125503540039,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Deliu Petroiu,Timișoara,3.6,1368,Cultural,1,Oricând,21.22215461730957,45.75116729736328,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Urban site the Neighborhood ""Timisoara Fortress""",Timișoara,3.7,2970,Historic architecture,1,Oricând,21.22916603088379,45.75638961791992,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Timișoara Fortress,Timișoara,3.9,1207,Fortifications,3,Oricând,21.22916603088379,45.75638961791992,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Dositej Obradović,Timișoara,3.9,1474,Cultural,2,Oricând,21.221946716308594,45.751251220703125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ion Românu,Timișoara,4.3,535,Cultural,2,Oricând,21.222055435180664,45.751163482666016,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Corneliu Miklosi,Timișoara,4.6,2506,Cultural,2,Oricând,21.221839904785156,45.751243591308594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Pius Brînzeu,Timișoara,5.0,2982,Cultural,1,Oricând,21.22195053100586,45.75115966796875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Eduard Pamfil,Timișoara,3.5,955,Cultural,1,Oricând,21.22185516357422,45.75115203857422,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ormós Zsigmond,Timișoara,4.0,1815,Cultural,1,Oricând,21.221654891967773,45.75123596191406,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Grădina de vară Capitol,Timișoara,4.1,2143,Cultural,1,Oricând,21.225994110107422,45.74995803833008,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Gheorghe Tohăneanu,Timișoara,4.0,2421,Cultural,2,Oricând,21.221664428710938,45.75114440917969,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Carol Robert de Anjou,Timișoara,4.3,1625,Cultural,1,Oricând,21.221548080444336,45.75122833251953,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cathedral Park,Timișoara,5.0,2803,Urban environment,3,Oricând,21.223604202270508,45.75016784667969,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Anghel Dumbrăveanu,Timișoara,4.7,1730,Cultural,1,Oricând,21.22150421142578,45.751182556152344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Nicolae Boboc,Timișoara,4.2,1700,Cultural,1,Oricând,21.221555709838867,45.75114059448242,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Roman-Catholic Episcopal Museum,Timișoara,4.3,2412,Cultural,2,Oricând,21.229860305786133,45.75640106201172,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Civic Park, Timișoara",Timișoara,4.5,2525,Gardens and parks,1,Oricând,21.231388092041016,45.75388717651367,Gratuit,City Break,"['turism', 'călătorie', 'explorare']"
Stăvilarul Contragardei,Timișoara,4.5,488,Historic,2,Oricând,21.221744537353516,45.756591796875,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Bust Costache Negri,Iași,4.7,1534,Historic,2,Oricând,27.59819793701172,47.166419982910156,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Sf. Dumitru Mișai,Iași,3.8,1978,Religion,3,Oricând,27.597890853881836,47.16617202758789,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfântul Dumitru-Misai,Iași,4.1,1478,Religion,3,Oricând,27.597837448120117,47.16617202758789,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sf. Voievozi-Rosca,Iași,3.6,302,Religion,1,Oricând,27.602067947387695,47.164859771728516,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sf. Voievozi - Roșca,Iași,4.1,2875,Religion,1,Oricând,27.602176666259766,47.16490173339844,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Pictor Ofelia Hutul,Iași,4.2,915,Cultural,2,Oricând,27.601381301879883,47.16426086425781,Mic,City Break,"['turism', 'călătorie', 'explorare']"
axa b.c.,Iași,4.5,2939,View points,1,Oricând,27.604862213134766,47.16469955444336,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"White Church, Iași",Iași,4.5,759,Religion,3,Oricând,27.595491409301758,47.16282653808594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfântul Pantelimon,Iași,3.7,1608,Religion,3,Oricând,27.59309196472168,47.16518020629883,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica,Iași,4.4,63,Religion,2,Oricând,27.595491409301758,47.16279602050781,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Jewish Community Museum,Iași,3.7,328,Cultural,3,Oricând,27.594301223754883,47.16347885131836,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa de la cinci drumuri,Iași,4.5,752,Religion,2,Oricând,27.593952178955078,47.16375732421875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sinagoga Merari,Iași,3.9,892,Religion,2,Oricând,27.5936279296875,47.16388702392578,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Nicoriță Church,Iași,4.8,2362,Religion,3,Oricând,27.60238265991211,47.16164779663086,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Victims of Iași Pogrom Monument,Iași,4.8,1035,Historic,3,Oricând,27.59233856201172,47.165435791015625,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Great Synagogue,Iași,4.4,675,Religion,2,Oricând,27.591983795166016,47.16557312011719,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cimitirul Eternitatea,Iași,5.0,2853,Cemeteries,3,Oricând,27.60790252685547,47.16872024536133,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Nouapostolică,Iași,3.7,2453,Religion,3,Oricând,27.59601402282715,47.16154861450195,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Eroi francezi,Iași,4.9,1434,Historic,2,Oricând,27.608808517456055,47.16615295410156,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Bărboi Church,Iași,4.5,1267,Religion,3,Oricând,27.592979431152344,47.16279983520508,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Memorialul personalităților,Iași,4.1,370,Historic,3,Oricând,27.608566284179688,47.164703369140625,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Curelari,Iași,4.0,2550,Religion,3,Oricând,27.59084129333496,47.166534423828125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfinții Apostoli Petru și Pavel,Iași,4.2,1847,Religion,1,Oricând,27.599824905395508,47.172908782958984,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfântul Gheorghe (Eternitate),Iași,3.7,268,Religion,3,Oricând,27.609073638916016,47.167877197265625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Bașotă,Iași,3.5,2383,Architecture,3,Oricând,27.59079360961914,47.1659049987793,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica,Iași,4.8,832,Religion,1,Oricând,27.60470199584961,47.1609992980957,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Penticostală Străjerul,Iași,4.8,2176,Religion,3,Oricând,27.60472297668457,47.16100311279297,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Turn clopotniță,Iași,3.7,2914,Architecture,2,Oricând,27.59173583984375,47.16316604614258,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Capela Cimitirului Sfinții Apostoli Petru și Pavel,Iași,3.9,461,Religion,3,Oricând,27.599618911743164,47.17333984375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bust Memorial,Iași,3.9,2538,Cultural,3,Oricând,27.5911922454834,47.163124084472656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Muzeul Ion Creanga,Iași,4.6,1264,Cultural,2,Oricând,27.58997917175293,47.16496276855469,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Zlataust,Iași,4.9,865,Religion,1,Oricând,27.59726333618164,47.15966796875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Golia Monastery Collection,Iași,4.9,2544,Religion,3,Oricând,27.589401245117188,47.16484069824219,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Golia Monastery,Iași,3.8,840,Religion,3,Oricând,27.589338302612305,47.16484451293945,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Muzeul Municipal Iași,Iași,3.9,2345,Cultural,3,Oricând,27.595863342285156,47.15971374511719,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Monument of Grigorie Ghica III, Iași",Iași,4.6,1230,Historic,1,Oricând,27.594778060913086,47.15998840332031,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Turnul Goliei,Iași,4.3,583,Architecture,1,Oricând,27.58940887451172,47.164306640625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Baptistă Buna Vestire,Iași,4.8,581,Religion,3,Oricând,27.588951110839844,47.16838836669922,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Memorială Otilia Cazimir,Iași,4.8,2046,Museums,1,Oricând,27.598278045654297,47.159053802490234,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
"""Otilia Cazimir"" Museum",Iași,3.6,2583,Cultural,3,Oricând,27.598278045654297,47.159053802490234,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cimitirul militar german,Iași,3.7,923,Cemeteries,2,Oricând,27.611228942871094,47.16560745239258,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Adormirea Maicii Domnului - Barnovschi,Iași,4.7,465,Religion,3,Oricând,27.593412399291992,47.160335540771484,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bustul Arhiepiscopului Kyprianos,Iași,3.6,62,Cultural,2,Oricând,27.590513229370117,47.162288665771484,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sf. Vasile Tatarasi,Iași,3.8,2164,Religion,3,Oricând,27.60413932800293,47.159339904785156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sinagoga Cismarilor,Iași,3.5,93,Religion,2,Oricând,27.594003677368164,47.15985107421875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Barnovschi Church,Iași,3.8,484,Religion,3,Oricând,27.59311294555664,47.16004943847656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cimitirul Sf. Petru și Pavel,Iași,4.8,1261,Cemeteries,1,Oricând,27.601234436035156,47.174842834472656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ss. Theodore Church,Iași,4.3,2898,Religion,1,Oricând,27.58763885498047,47.16713333129883,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Vovidenia,Iași,4.0,2131,Religion,2,Oricând,27.587663650512695,47.16534423828125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Vulpe,Iași,3.9,2926,Religion,1,Oricând,27.58800506591797,47.169368743896484,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Armenian Church, Iași",Iași,4.8,1583,Religion,3,Oricând,27.588985443115234,47.16246032714844,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Filocalia,Iași,4.0,260,Religion,3,Oricând,27.5999813079834,47.158058166503906,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ruine zona Hala Centrală,Iași,4.4,2645,Architecture,1,Oricând,27.591238021850586,47.16044616699219,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Creștină după Evanghelie Nr. 2,Iași,4.7,1494,Religion,2,Oricând,27.587627410888672,47.164772033691406,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Vila Sonet - Muzeul Mihai Codreanu,Iași,4.0,2890,Cultural,2,Oricând,27.587087631225586,47.16771697998047,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"""Mihai Codreanu"" Museum",Iași,3.6,884,Cultural,3,Oricând,27.587099075317383,47.16777801513672,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfântul Ștefan,Iași,4.0,1451,Religion,2,Oricând,27.58940315246582,47.17201614379883,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Saint Sabbas Church, Iași",Iași,3.5,2687,Religion,3,Oricând,27.588590621948242,47.161739349365234,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Betania,Iași,4.6,495,Religion,1,Oricând,27.593299865722656,47.15850830078125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sf. Nicolae - Ciurchi,Iași,4.5,1504,Religion,2,Oricând,27.6090145111084,47.15949630737305,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Memorială „Mihai Codreanu”,Iași,4.0,511,Museums,2,Oricând,27.58616065979004,47.1678581237793,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Biserica Nașterea Domnului,Iași,4.3,2076,Religion,2,Oricând,27.586729049682617,47.163143157958984,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfinții Atanasie și Ciril,Iași,4.2,872,Religion,2,Oricând,27.58572769165039,47.168800354003906,Mic,City Break,"['turism', 'călătorie', 'explorare']"
